num_features,loss,accuracy
1,3.454738140106201,0.6666666666666666
1,6.908064246177673,0.2608695652173913
1,5.389568328857422,0.2777777777777778
1,4.488364219665527,0.5555555555555556
1,4.8611980676651,0.47368421052631576
2,3.5802656412124634,0.5333333333333333
2,6.2299811244010925,0.43478260869565216
2,4.928450345993042,0.5
2,5.381218314170837,0.3888888888888889
2,5.174407005310059,0.3684210526315789
3,3.0927132964134216,0.7333333333333333
3,6.066467344760895,0.4782608695652174
3,3.953404188156128,0.7777777777777778
3,4.433038711547852,0.6111111111111112
3,4.164239227771759,0.6842105263157895
4,2.384272515773773,0.9333333333333333
4,5.651526749134064,0.6521739130434783
4,4.273910224437714,0.6666666666666666
4,3.6885411143302917,0.8333333333333334
4,3.0486015677452087,1.0
5,2.4203040599823,0.9333333333333333
5,3.923924207687378,0.9565217391304348
5,3.3532822132110596,0.8888888888888888
5,3.172374129295349,0.9444444444444444
5,3.4313791394233704,0.9473684210526315
6,2.2421988248825073,1.0
6,3.7207829356193542,1.0
6,2.978780448436737,1.0
6,3.383684515953064,0.9444444444444444
6,3.141726493835449,0.9473684210526315
7,2.23303759098053,1.0
7,5.2059900760650635,0.6521739130434783
7,3.1722989082336426,0.9444444444444444
7,3.641528010368347,0.7777777777777778
7,3.0242366194725037,1.0
8,2.2344393134117126,1.0
8,3.720993995666504,1.0
8,3.152836859226227,0.9444444444444444
8,3.2305023670196533,0.9444444444444444
8,2.97660094499588,1.0
9,2.2347826957702637,1.0
9,5.263074815273285,0.6521739130434783
9,2.9794883728027344,1.0
9,3.1765360236167908,0.9444444444444444
9,3.0281288623809814,1.0
10,2.232996940612793,1.0
10,3.754495620727539,1.0
10,3.0505622029304504,1.0
10,3.2081780433654785,0.9444444444444444
10,3.2016586661338806,0.9473684210526315
11,2.253453493118286,1.0
11,3.746411621570587,1.0
11,3.0975968837738037,1.0
11,3.1763442754745483,0.9444444444444444
11,2.9769351482391357,1.0
12,2.245103120803833,1.0
12,3.7331390976905823,1.0
12,2.983962118625641,1.0
12,3.176828622817993,0.9444444444444444
12,2.977984070777893,1.0
13,2.260689616203308,1.0
13,3.919954836368561,0.9565217391304348
13,3.058738648891449,1.0
13,3.003985106945038,1.0
13,2.9763665795326233,1.0
14,2.434325873851776,0.9333333333333333
14,5.332957088947296,0.6521739130434783
14,3.055076777935028,1.0
14,3.1306092143058777,1.0
14,3.0497803688049316,1.0
15,2.232638120651245,1.0
15,5.278493583202362,0.6521739130434783
15,3.176362156867981,0.9444444444444444
15,3.175723612308502,0.9444444444444444
15,3.110058605670929,1.0
16,2.444311797618866,0.9333333333333333
16,3.7244867086410522,1.0
16,3.0236116647720337,1.0
16,3.4309017658233643,0.9444444444444444
16,2.9868180751800537,1.0
17,2.232947826385498,1.0
17,5.237746357917786,0.6521739130434783
17,3.1766594648361206,0.9444444444444444
17,3.0858768820762634,1.0
17,2.9763640761375427,1.0
18,2.516243278980255,0.9333333333333333
18,3.7243274450302124,1.0
18,2.981042802333832,1.0
18,3.1962363719940186,0.9444444444444444
18,2.9778164625167847,1.0
19,2.281810998916626,1.0
19,4.9357563853263855,0.9130434782608695
19,3.1765642762184143,0.9444444444444444
19,3.2640427350997925,0.9444444444444444
